x,y,z,label
-2.500000000000000000e-01,2.499999999999998890e-01,4.499999999999998446e-01,0.000000000000000000e+00
-2.500000000000000000e-01,3.499999999999998668e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-2.500000000000000000e-01,3.499999999999998668e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-2.500000000000000000e-01,3.499999999999998668e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-2.500000000000000000e-01,3.499999999999998668e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-2.500000000000000000e-01,3.499999999999998668e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-2.500000000000000000e-01,3.499999999999998668e-01,4.999999999999993339e-02,0.000000000000000000e+00
-2.500000000000000000e-01,3.499999999999998668e-01,1.499999999999999112e-01,0.000000000000000000e+00
-2.500000000000000000e-01,3.499999999999998668e-01,2.499999999999998890e-01,0.000000000000000000e+00
-2.500000000000000000e-01,3.499999999999998668e-01,3.499999999999998668e-01,0.000000000000000000e+00
-2.500000000000000000e-01,3.499999999999998668e-01,4.499999999999998446e-01,0.000000000000000000e+00
-2.500000000000000000e-01,4.499999999999998446e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-2.500000000000000000e-01,4.499999999999998446e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-2.500000000000000000e-01,4.499999999999998446e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-2.500000000000000000e-01,4.499999999999998446e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-2.500000000000000000e-01,4.499999999999998446e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-2.500000000000000000e-01,4.499999999999998446e-01,4.999999999999993339e-02,0.000000000000000000e+00
-2.500000000000000000e-01,4.499999999999998446e-01,1.499999999999999112e-01,0.000000000000000000e+00
-2.500000000000000000e-01,4.499999999999998446e-01,2.499999999999998890e-01,0.000000000000000000e+00
-2.500000000000000000e-01,4.499999999999998446e-01,3.499999999999998668e-01,0.000000000000000000e+00
-2.500000000000000000e-01,4.499999999999998446e-01,4.499999999999998446e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-4.499999999999999556e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-4.499999999999999556e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-4.499999999999999556e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-4.499999999999999556e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-4.499999999999999556e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-1.500000000000000222e-01,-4.499999999999999556e-01,4.999999999999993339e-02,0.000000000000000000e+00
-1.500000000000000222e-01,-4.499999999999999556e-01,1.499999999999999112e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-4.499999999999999556e-01,2.499999999999998890e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-4.499999999999999556e-01,3.499999999999998668e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-4.499999999999999556e-01,4.499999999999998446e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-3.499999999999999778e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-3.499999999999999778e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-3.499999999999999778e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-3.499999999999999778e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-3.499999999999999778e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-1.500000000000000222e-01,-3.499999999999999778e-01,4.999999999999993339e-02,0.000000000000000000e+00
-1.500000000000000222e-01,-3.499999999999999778e-01,1.499999999999999112e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-3.499999999999999778e-01,2.499999999999998890e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-3.499999999999999778e-01,3.499999999999998668e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-3.499999999999999778e-01,4.499999999999998446e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-2.500000000000000000e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-2.500000000000000000e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-2.500000000000000000e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-2.500000000000000000e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-2.500000000000000000e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-1.500000000000000222e-01,-2.500000000000000000e-01,4.999999999999993339e-02,0.000000000000000000e+00
-1.500000000000000222e-01,-2.500000000000000000e-01,1.499999999999999112e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-2.500000000000000000e-01,2.499999999999998890e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-2.500000000000000000e-01,3.499999999999998668e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-2.500000000000000000e-01,4.499999999999998446e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-1.500000000000000222e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-1.500000000000000222e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-1.500000000000000222e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-1.500000000000000222e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-1.500000000000000222e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-1.500000000000000222e-01,-1.500000000000000222e-01,4.999999999999993339e-02,0.000000000000000000e+00
-1.500000000000000222e-01,-1.500000000000000222e-01,1.499999999999999112e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-1.500000000000000222e-01,2.499999999999998890e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-1.500000000000000222e-01,3.499999999999998668e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-1.500000000000000222e-01,4.499999999999998446e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-5.000000000000004441e-02,-4.499999999999999556e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-5.000000000000004441e-02,-3.499999999999999778e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-5.000000000000004441e-02,-2.500000000000000000e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-5.000000000000004441e-02,-1.500000000000000222e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-5.000000000000004441e-02,-5.000000000000004441e-02,0.000000000000000000e+00
-1.500000000000000222e-01,-5.000000000000004441e-02,4.999999999999993339e-02,0.000000000000000000e+00
-1.500000000000000222e-01,-5.000000000000004441e-02,1.499999999999999112e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-5.000000000000004441e-02,2.499999999999998890e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-5.000000000000004441e-02,3.499999999999998668e-01,0.000000000000000000e+00
-1.500000000000000222e-01,-5.000000000000004441e-02,4.499999999999998446e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.999999999999993339e-02,-4.499999999999999556e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.999999999999993339e-02,-3.499999999999999778e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.999999999999993339e-02,-2.500000000000000000e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.999999999999993339e-02,-1.500000000000000222e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.999999999999993339e-02,-5.000000000000004441e-02,0.000000000000000000e+00
-1.500000000000000222e-01,4.999999999999993339e-02,4.999999999999993339e-02,0.000000000000000000e+00
-1.500000000000000222e-01,4.999999999999993339e-02,1.499999999999999112e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.999999999999993339e-02,2.499999999999998890e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.999999999999993339e-02,3.499999999999998668e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.999999999999993339e-02,4.499999999999998446e-01,0.000000000000000000e+00
-1.500000000000000222e-01,1.499999999999999112e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-1.500000000000000222e-01,1.499999999999999112e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-1.500000000000000222e-01,1.499999999999999112e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-1.500000000000000222e-01,1.499999999999999112e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-1.500000000000000222e-01,1.499999999999999112e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-1.500000000000000222e-01,1.499999999999999112e-01,4.999999999999993339e-02,0.000000000000000000e+00
-1.500000000000000222e-01,1.499999999999999112e-01,1.499999999999999112e-01,0.000000000000000000e+00
-1.500000000000000222e-01,1.499999999999999112e-01,2.499999999999998890e-01,0.000000000000000000e+00
-1.500000000000000222e-01,1.499999999999999112e-01,3.499999999999998668e-01,0.000000000000000000e+00
-1.500000000000000222e-01,1.499999999999999112e-01,4.499999999999998446e-01,0.000000000000000000e+00
-1.500000000000000222e-01,2.499999999999998890e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-1.500000000000000222e-01,2.499999999999998890e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-1.500000000000000222e-01,2.499999999999998890e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-1.500000000000000222e-01,2.499999999999998890e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-1.500000000000000222e-01,2.499999999999998890e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-1.500000000000000222e-01,2.499999999999998890e-01,4.999999999999993339e-02,0.000000000000000000e+00
-1.500000000000000222e-01,2.499999999999998890e-01,1.499999999999999112e-01,0.000000000000000000e+00
-1.500000000000000222e-01,2.499999999999998890e-01,2.499999999999998890e-01,0.000000000000000000e+00
-1.500000000000000222e-01,2.499999999999998890e-01,3.499999999999998668e-01,0.000000000000000000e+00
-1.500000000000000222e-01,2.499999999999998890e-01,4.499999999999998446e-01,0.000000000000000000e+00
-1.500000000000000222e-01,3.499999999999998668e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-1.500000000000000222e-01,3.499999999999998668e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-1.500000000000000222e-01,3.499999999999998668e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-1.500000000000000222e-01,3.499999999999998668e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-1.500000000000000222e-01,3.499999999999998668e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-1.500000000000000222e-01,3.499999999999998668e-01,4.999999999999993339e-02,0.000000000000000000e+00
-1.500000000000000222e-01,3.499999999999998668e-01,1.499999999999999112e-01,0.000000000000000000e+00
-1.500000000000000222e-01,3.499999999999998668e-01,2.499999999999998890e-01,0.000000000000000000e+00
-1.500000000000000222e-01,3.499999999999998668e-01,3.499999999999998668e-01,0.000000000000000000e+00
-1.500000000000000222e-01,3.499999999999998668e-01,4.499999999999998446e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.499999999999998446e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.499999999999998446e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.499999999999998446e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.499999999999998446e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.499999999999998446e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-1.500000000000000222e-01,4.499999999999998446e-01,4.999999999999993339e-02,0.000000000000000000e+00
-1.500000000000000222e-01,4.499999999999998446e-01,1.499999999999999112e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.499999999999998446e-01,2.499999999999998890e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.499999999999998446e-01,3.499999999999998668e-01,0.000000000000000000e+00
-1.500000000000000222e-01,4.499999999999998446e-01,4.499999999999998446e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-4.499999999999999556e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-4.499999999999999556e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-4.499999999999999556e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-4.499999999999999556e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-4.499999999999999556e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-5.000000000000004441e-02,-4.499999999999999556e-01,4.999999999999993339e-02,0.000000000000000000e+00
-5.000000000000004441e-02,-4.499999999999999556e-01,1.499999999999999112e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-4.499999999999999556e-01,2.499999999999998890e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-4.499999999999999556e-01,3.499999999999998668e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-4.499999999999999556e-01,4.499999999999998446e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-3.499999999999999778e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-3.499999999999999778e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-3.499999999999999778e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-3.499999999999999778e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-3.499999999999999778e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-5.000000000000004441e-02,-3.499999999999999778e-01,4.999999999999993339e-02,0.000000000000000000e+00
-5.000000000000004441e-02,-3.499999999999999778e-01,1.499999999999999112e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-3.499999999999999778e-01,2.499999999999998890e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-3.499999999999999778e-01,3.499999999999998668e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-3.499999999999999778e-01,4.499999999999998446e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-2.500000000000000000e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-2.500000000000000000e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-2.500000000000000000e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-2.500000000000000000e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-2.500000000000000000e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-5.000000000000004441e-02,-2.500000000000000000e-01,4.999999999999993339e-02,0.000000000000000000e+00
-5.000000000000004441e-02,-2.500000000000000000e-01,1.499999999999999112e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-2.500000000000000000e-01,2.499999999999998890e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-2.500000000000000000e-01,3.499999999999998668e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-2.500000000000000000e-01,4.499999999999998446e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-1.500000000000000222e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-1.500000000000000222e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-1.500000000000000222e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-1.500000000000000222e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-1.500000000000000222e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-5.000000000000004441e-02,-1.500000000000000222e-01,4.999999999999993339e-02,0.000000000000000000e+00
-5.000000000000004441e-02,-1.500000000000000222e-01,1.499999999999999112e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-1.500000000000000222e-01,2.499999999999998890e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-1.500000000000000222e-01,3.499999999999998668e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-1.500000000000000222e-01,4.499999999999998446e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-5.000000000000004441e-02,-4.499999999999999556e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-5.000000000000004441e-02,-3.499999999999999778e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-5.000000000000004441e-02,-2.500000000000000000e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-5.000000000000004441e-02,-1.500000000000000222e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-5.000000000000004441e-02,-5.000000000000004441e-02,0.000000000000000000e+00
-5.000000000000004441e-02,-5.000000000000004441e-02,4.999999999999993339e-02,0.000000000000000000e+00
-5.000000000000004441e-02,-5.000000000000004441e-02,1.499999999999999112e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-5.000000000000004441e-02,2.499999999999998890e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-5.000000000000004441e-02,3.499999999999998668e-01,0.000000000000000000e+00
-5.000000000000004441e-02,-5.000000000000004441e-02,4.499999999999998446e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.999999999999993339e-02,-4.499999999999999556e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.999999999999993339e-02,-3.499999999999999778e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.999999999999993339e-02,-2.500000000000000000e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.999999999999993339e-02,-1.500000000000000222e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.999999999999993339e-02,-5.000000000000004441e-02,0.000000000000000000e+00
-5.000000000000004441e-02,4.999999999999993339e-02,4.999999999999993339e-02,0.000000000000000000e+00
-5.000000000000004441e-02,4.999999999999993339e-02,1.499999999999999112e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.999999999999993339e-02,2.499999999999998890e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.999999999999993339e-02,3.499999999999998668e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.999999999999993339e-02,4.499999999999998446e-01,0.000000000000000000e+00
-5.000000000000004441e-02,1.499999999999999112e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-5.000000000000004441e-02,1.499999999999999112e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-5.000000000000004441e-02,1.499999999999999112e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-5.000000000000004441e-02,1.499999999999999112e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-5.000000000000004441e-02,1.499999999999999112e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-5.000000000000004441e-02,1.499999999999999112e-01,4.999999999999993339e-02,0.000000000000000000e+00
-5.000000000000004441e-02,1.499999999999999112e-01,1.499999999999999112e-01,0.000000000000000000e+00
-5.000000000000004441e-02,1.499999999999999112e-01,2.499999999999998890e-01,0.000000000000000000e+00
-5.000000000000004441e-02,1.499999999999999112e-01,3.499999999999998668e-01,0.000000000000000000e+00
-5.000000000000004441e-02,1.499999999999999112e-01,4.499999999999998446e-01,0.000000000000000000e+00
-5.000000000000004441e-02,2.499999999999998890e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-5.000000000000004441e-02,2.499999999999998890e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-5.000000000000004441e-02,2.499999999999998890e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-5.000000000000004441e-02,2.499999999999998890e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-5.000000000000004441e-02,2.499999999999998890e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-5.000000000000004441e-02,2.499999999999998890e-01,4.999999999999993339e-02,0.000000000000000000e+00
-5.000000000000004441e-02,2.499999999999998890e-01,1.499999999999999112e-01,0.000000000000000000e+00
-5.000000000000004441e-02,2.499999999999998890e-01,2.499999999999998890e-01,0.000000000000000000e+00
-5.000000000000004441e-02,2.499999999999998890e-01,3.499999999999998668e-01,0.000000000000000000e+00
-5.000000000000004441e-02,2.499999999999998890e-01,4.499999999999998446e-01,0.000000000000000000e+00
-5.000000000000004441e-02,3.499999999999998668e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-5.000000000000004441e-02,3.499999999999998668e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-5.000000000000004441e-02,3.499999999999998668e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-5.000000000000004441e-02,3.499999999999998668e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-5.000000000000004441e-02,3.499999999999998668e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-5.000000000000004441e-02,3.499999999999998668e-01,4.999999999999993339e-02,0.000000000000000000e+00
-5.000000000000004441e-02,3.499999999999998668e-01,1.499999999999999112e-01,0.000000000000000000e+00
-5.000000000000004441e-02,3.499999999999998668e-01,2.499999999999998890e-01,0.000000000000000000e+00
-5.000000000000004441e-02,3.499999999999998668e-01,3.499999999999998668e-01,0.000000000000000000e+00
-5.000000000000004441e-02,3.499999999999998668e-01,4.499999999999998446e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.499999999999998446e-01,-4.499999999999999556e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.499999999999998446e-01,-3.499999999999999778e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.499999999999998446e-01,-2.500000000000000000e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.499999999999998446e-01,-1.500000000000000222e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.499999999999998446e-01,-5.000000000000004441e-02,0.000000000000000000e+00
-5.000000000000004441e-02,4.499999999999998446e-01,4.999999999999993339e-02,0.000000000000000000e+00
-5.000000000000004441e-02,4.499999999999998446e-01,1.499999999999999112e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.499999999999998446e-01,2.499999999999998890e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.499999999999998446e-01,3.499999999999998668e-01,0.000000000000000000e+00
-5.000000000000004441e-02,4.499999999999998446e-01,4.499999999999998446e-01,0.000000000000000000e+00
4.999999999999993339e-02,-4.499999999999999556e-01,-4.499999999999999556e-01,0.000000000000000000e+00
4.999999999999993339e-02,-4.499999999999999556e-01,-3.499999999999999778e-01,0.000000000000000000e+00
4.999999999999993339e-02,-4.499999999999999556e-01,-2.500000000000000000e-01,0.000000000000000000e+00
4.999999999999993339e-02,-4.499999999999999556e-01,-1.500000000000000222e-01,0.000000000000000000e+00
4.999999999999993339e-02,-4.499999999999999556e-01,-5.000000000000004441e-02,0.000000000000000000e+00
4.999999999999993339e-02,-4.499999999999999556e-01,4.999999999999993339e-02,0.000000000000000000e+00
4.999999999999993339e-02,-4.499999999999999556e-01,1.499999999999999112e-01,0.000000000000000000e+00
4.999999999999993339e-02,-4.499999999999999556e-01,2.499999999999998890e-01,0.000000000000000000e+00
4.999999999999993339e-02,-4.499999999999999556e-01,3.499999999999998668e-01,0.000000000000000000e+00
4.999999999999993339e-02,-4.499999999999999556e-01,4.499999999999998446e-01,0.000000000000000000e+00
4.999999999999993339e-02,-3.499999999999999778e-01,-4.499999999999999556e-01,0.000000000000000000e+00
4.999999999999993339e-02,-3.499999999999999778e-01,-3.499999999999999778e-01,0.000000000000000000e+00
4.999999999999993339e-02,-3.499999999999999778e-01,-2.500000000000000000e-01,0.000000000000000000e+00
4.999999999999993339e-02,-3.499999999999999778e-01,-1.500000000000000222e-01,0.000000000000000000e+00
4.999999999999993339e-02,-3.499999999999999778e-01,-5.000000000000004441e-02,0.000000000000000000e+00
4.999999999999993339e-02,-3.499999999999999778e-01,4.999999999999993339e-02,0.000000000000000000e+00
4.999999999999993339e-02,-3.499999999999999778e-01,1.499999999999999112e-01,0.000000000000000000e+00
4.999999999999993339e-02,-3.499999999999999778e-01,2.499999999999998890e-01,0.000000000000000000e+00
4.999999999999993339e-02,-3.499999999999999778e-01,3.499999999999998668e-01,0.000000000000000000e+00
4.999999999999993339e-02,-3.499999999999999778e-01,4.499999999999998446e-01,0.000000000000000000e+00
4.999999999999993339e-02,-2.500000000000000000e-01,-4.499999999999999556e-01,0.000000000000000000e+00
4.999999999999993339e-02,-2.500000000000000000e-01,-3.499999999999999778e-01,0.000000000000000000e+00
4.999999999999993339e-02,-2.500000000000000000e-01,-2.500000000000000000e-01,0.000000000000000000e+00
4.999999999999993339e-02,-2.500000000000000000e-01,-1.500000000000000222e-01,0.000000000000000000e+00
4.999999999999993339e-02,-2.500000000000000000e-01,-5.000000000000004441e-02,0.000000000000000000e+00
4.999999999999993339e-02,-2.500000000000000000e-01,4.999999999999993339e-02,0.000000000000000000e+00
4.999999999999993339e-02,-2.500000000000000000e-01,1.499999999999999112e-01,0.000000000000000000e+00
4.999999999999993339e-02,-2.500000000000000000e-01,2.499999999999998890e-01,0.000000000000000000e+00
4.999999999999993339e-02,-2.500000000000000000e-01,3.499999999999998668e-01,0.000000000000000000e+00
4.999999999999993339e-02,-2.500000000000000000e-01,4.499999999999998446e-01,0.000000000000000000e+00
4.999999999999993339e-02,-1.500000000000000222e-01,-4.499999999999999556e-01,0.000000000000000000e+00
4.999999999999993339e-02,-1.500000000000000222e-01,-3.499999999999999778e-01,0.000000000000000000e+00
4.999999999999993339e-02,-1.500000000000000222e-01,-2.500000000000000000e-01,0.000000000000000000e+00
4.999999999999993339e-02,-1.500000000000000222e-01,-1.500000000000000222e-01,0.000000000000000000e+00
4.999999999999993339e-02,-1.500000000000000222e-01,-5.000000000000004441e-02,0.000000000000000000e+00
4.999999999999993339e-02,-1.500000000000000222e-01,4.999999999999993339e-02,0.000000000000000000e+00
4.999999999999993339e-02,-1.500000000000000222e-01,1.499999999999999112e-01,0.000000000000000000e+00
4.999999999999993339e-02,-1.500000000000000222e-01,2.499999999999998890e-01,0.000000000000000000e+00
4.999999999999993339e-02,-1.500000000000000222e-01,3.499999999999998668e-01,0.000000000000000000e+00
4.999999999999993339e-02,-1.500000000000000222e-01,4.499999999999998446e-01,0.000000000000000000e+00
4.999999999999993339e-02,-5.000000000000004441e-02,-4.499999999999999556e-01,0.000000000000000000e+00
4.999999999999993339e-02,-5.000000000000004441e-02,-3.499999999999999778e-01,0.000000000000000000e+00
4.999999999999993339e-02,-5.000000000000004441e-02,-2.500000000000000000e-01,0.000000000000000000e+00
4.999999999999993339e-02,-5.000000000000004441e-02,-1.500000000000000222e-01,0.000000000000000000e+00
4.999999999999993339e-02,-5.000000000000004441e-02,-5.000000000000004441e-02,0.000000000000000000e+00
4.999999999999993339e-02,-5.000000000000004441e-02,4.999999999999993339e-02,0.000000000000000000e+00
4.999999999999993339e-02,-5.000000000000004441e-02,1.499999999999999112e-01,0.000000000000000000e+00
4.999999999999993339e-02,-5.000000000000004441e-02,2.499999999999998890e-01,0.000000000000000000e+00
4.999999999999993339e-02,-5.000000000000004441e-02,3.499999999999998668e-01,0.000000000000000000e+00
4.999999999999993339e-02,-5.000000000000004441e-02,4.499999999999998446e-01,0.000000000000000000e+00
4.999999999999993339e-02,4.999999999999993339e-02,-4.499999999999999556e-01,0.000000000000000000e+00
4.999999999999993339e-02,4.999999999999993339e-02,-3.499999999999999778e-01,0.000000000000000000e+00
4.999999999999993339e-02,4.999999999999993339e-02,-2.500000000000000000e-01,0.000000000000000000e+00
4.999999999999993339e-02,4.999999999999993339e-02,-1.500000000000000222e-01,0.000000000000000000e+00
4.999999999999993339e-02,4.999999999999993339e-02,-5.000000000000004441e-02,0.000000000000000000e+00
4.999999999999993339e-02,4.999999999999993339e-02,4.999999999999993339e-02,0.000000000000000000e+00
4.999999999999993339e-02,4.999999999999993339e-02,1.499999999999999112e-01,0.000000000000000000e+00
4.999999999999993339e-02,4.999999999999993339e-02,2.499999999999998890e-01,0.000000000000000000e+00
4.999999999999993339e-02,4.999999999999993339e-02,3.499999999999998668e-01,0.000000000000000000e+00
